
===== Intraoral  (1720 imgs, 23 categories with GT) =====
  category                                          #GT     AP   AP50
  foreign object or debris                         1928  0.636  0.964
  dental caries                                    1472  0.683  0.884
  dental abrasion                                  1259  0.707  0.780
  treated tooth                                     684  0.353  0.552
  intraoral appliance                               645  0.516  0.752
  canine                                            579  0.849  0.987
  central incisor                                   578  0.881  0.997
  lateral incisor                                   578  0.859  0.988
  first premolar                                    563  0.789  0.988
  second premolar                                   529  0.718  0.979
  severe gingivitis                                 508  0.364  0.743
  first molar                                       471  0.663  0.945
  dental filling                                    431  0.310  0.569
  orthodontic bracket                               386  0.571  0.934
  missing or residual root                          342  0.595  0.910
  anterior teeth with fluorosis                     333  0.627  0.683
  dental opacity                                    265  0.374  0.624
  anterior teeth without fluorosis                  255  0.681  0.702
  second molar                                      247  0.583  0.899
  tooth erosion                                     176  0.221  0.426
  dental crown restoration                          132  0.595  0.675
  craniofacial or oral anomaly                      110  0.417  0.778
  tooth malformation                                 39  0.244  0.418
  -- mean over categories --                             0.575  0.790

===== Panoramic  (6666 imgs, 55 categories with GT) =====
  category                                          #GT     AP   AP50
  dental filling                                  17940  0.377  0.628
  impacted tooth                                   8938  0.604  0.907
  root canal treatment                             7020  0.225  0.520
  dental caries                                    5966  0.137  0.291
  dental crown restoration                         4094  0.582  0.791
  impacted wisdom tooth                            2649  0.816  0.934
  periapical lesion                                2157  0.054  0.141
  missing teeth                                    1912  0.514  0.757
  mandibular canal                                 1854  0.660  0.888
  alveolar bone loss                               1422  0.138  0.250
  maxillary sinus                                  1151  0.786  0.883
  root piece                                        903  0.321  0.634
  periapical granuloma                              844  0.153  0.400
  dental implant                                    545  0.572  0.850
  periapical abscess                                343  0.156  0.325
  tooth 33 (lower left canine)                      309  0.685  0.945
  tooth 43 (lower right canine)                     304  0.676  0.947
  tooth 42 (lower right lateral incisor)            299  0.606  0.920
  tooth 41 (lower right central incisor)            298  0.556  0.915
  tooth 32 (lower left lateral incisor)             297  0.645  0.958
  tooth 31 (lower left central incisor)             295  0.584  0.919
  tooth 23 (upper left canine)                      289  0.663  0.944
  tooth 44 (lower right first premolar)             286  0.674  0.943
  tooth 13 (upper right canine)                     283  0.650  0.920
  tooth 21 (upper left central incisor)             280  0.671  0.939
  tooth 22 (upper left lateral incisor)             279  0.641  0.932
  tooth 11 (upper right central incisor)            278  0.656  0.918
  tooth 12 (upper right lateral incisor)            275  0.624  0.932
  tooth 35 (lower left second premolar)             274  0.721  0.956
  tooth 34 (lower left first premolar)              271  0.680  0.922
  tooth 24 (upper left first premolar)              269  0.583  0.919
  tooth 45 (lower right second premolar)            265  0.683  0.952
  tooth 15 (upper right second premolar)            258  0.640  0.912
  tooth 17 (upper right second molar)               254  0.750  0.952
  tooth 27 (upper left second molar)                254  0.686  0.892
  tooth 14 (upper right first premolar)             253  0.582  0.899
  tooth 25 (upper left second premolar)             246  0.602  0.901
  tooth 26 (upper left first molar)                 246  0.693  0.928
  tooth 16 (upper right first molar)                244  0.701  0.928
  tooth 47 (lower right second molar)               240  0.798  0.964
  tooth 37 (lower left second molar)                237  0.783  0.952
  tooth 46 (lower right first molar)                235  0.803  0.966
  tooth 36 (lower left first molar)                 226  0.791  0.955
  tooth 48 (lower right third molar)                152  0.719  0.953
  tooth 18 (upper right third molar)                144  0.613  0.907
  tooth 38 (lower left third molar)                 144  0.724  0.943
  periapical cyst                                   139  0.216  0.386
  quadrant 1 (upper right)                          138  0.249  0.330
  quadrant 2 (upper left)                           138  0.208  0.282
  quadrant 3 (lower left)                           138  0.258  0.351
  quadrant 4 (lower right)                          138  0.279  0.380
  tooth 28 (upper left third molar)                 138  0.591  0.859
  deep dental caries                                111  0.079  0.129
  retained root                                      23  0.027  0.054
  malaligned tooth                                    7  0.000  0.000
  -- mean over categories --                             0.525  0.744

===== Periapical  (367 imgs, 6 categories with GT) =====
  category                                          #GT     AP   AP50
  dental caries                                      96  0.079  0.163
  deep dental caries                                 79  0.169  0.324
  normal oral mucosa                                 75  0.456  0.524
  root canal treatment                               75  0.393  0.518
  dental restoration                                 69  0.540  0.611
  dental crown restoration                           67  0.798  0.881
  -- mean over categories --                             0.406  0.503

===== Cytology  (1503 imgs, 11 categories with GT) =====
  category                                          #GT     AP   AP50
  grade I oral cytology (normal)                   2586  0.688  0.881
  out-of-focus cell                                2317  0.249  0.374
  abnormal oral epithelial cell                    2226  0.500  0.653
  normal oral tissue                                827  0.660  0.777
  blood cell                                        814  0.345  0.457
  grade IV oral cytology (malignant)                605  0.275  0.407
  grade III oral cytology (suspicious)              474  0.109  0.153
  grade II oral cytology (atypical)                 454  0.360  0.450
  reactive oral cell                                235  0.284  0.351
  unclassified cell                                  15  0.005  0.007
  dividing oral cell                                  9  0.006  0.009
  -- mean over categories --                             0.316  0.411

===== Histology  (90 imgs, 1 categories with GT) =====
  category                                          #GT     AP   AP50
  oral squamous cell carcinoma tumor                 90  0.757  0.876
  -- mean over categories --                             0.757  0.876
